PIDN,Ca,P,pH,SOC,Sand
09gt9UK5,0.0064420352,-0.0145235521,-0.5956814526,-0.0090706944,-0.4133101444
0BVvxJ6a,0.0064420352,-0.0145235521,0.6007761986,-0.0463766846,-0.0633362616
0KbdgApg,0.0064420352,-0.0145235521,0.4867836419,-0.1498186546,-0.0211161859
0MnuuduB,0.0064420352,-0.0145235521,-0.0077746304,0.9757840422,-0.3132020921
0PcIsF9z,0.0064420352,-0.0145235521,-0.0718370023,-0.4925560961,0.0053413638
0ShTFLYJ,0.0064420352,-0.0145235521,-0.3214674216,-0.7747884135,-0.339201992
0XZh9jka,0.0064420352,-0.0145235521,-0.1006274019,1.1967255214,-0.7800503505
0Y7Wegri,0.0064420352,-0.0145235521,0.0531029891,-0.0029667638,0.597246505
0dTqplIM,0.0064420352,-0.0145235521,0.3384623363,0.3345741953,-0.362582124
0lNiZicC,0.0064420352,-0.0145235521,-0.4576256445,-0.5909922038,-0.5860200933
0rGeJ0QN,0.0064420352,-0.0145235521,-0.0843810122,-0.0995083589,0.4183687381
0sXI9ytQ,0.0064420352,-0.0145235521,-0.3076734589,-0.29258661,1.1881982176
0ukt4aP6,0.0064420352,-0.0145235521,0.5495785363,-0.2564891207,0.4161490092
1AGspb8f,0.0064420352,-0.0145235521,-0.1688201541,-0.1717543133,-0.3529533657
1Csy0gvE,0.0064420352,-0.0145235521,-0.0282339048,-0.5220896104,1.0088248158
1Ic2hly1,0.0064420352,-0.0145235521,-0.410690287,0.6213094147,-0.3077049444
1PPbaTwt,0.0064420352,-0.0145235521,-0.3962844084,-0.1952319038,-0.8124307327
1SO5VJNy,0.0064420352,-0.0145235521,0.0352542806,-0.1876860861,0.9036347821
1arHxK3Y,0.0064420352,-0.0145235521,0.4169802125,0.5961423213,-0.6504922558
1fCW4Bba,0.0064420352,-0.0145235521,-0.4765581637,0.8529305031,0.0222702705
1qDZNvIm,0.0064420352,-0.0145235521,-0.1368178548,-0.2065283521,1.1849527634
28LYJC2V,0.0064420352,-0.0145235521,-0.2718195686,-0.0657853464,-0.2133441064
2CzACvQq,0.0064420352,-0.0145235521,0.6098837674,-0.0284371567,0.038118004
2FT3crfv,0.0064420352,-0.0145235521,0.0825778362,0.4230354879,-0.3689938119
2Fy2uHVg,0.0064420352,-0.0145235521,0.2124685999,0.5585525984,-1.1975523946
2MkMEApm,0.0064420352,-0.0145235521,-0.2475613784,0.4995431079,0.3963882959
2NDGWEOe,0.0064420352,-0.0145235521,0.8214717446,-0.1665957232,-0.313708047
2NyyCiqn,0.0064420352,-0.0145235521,-0.1490902455,-0.216764047,0.737146721
2QRzIb84,0.0064420352,-0.0145235521,0.6545046205,0.0982568979,0.1692799794
2QcbdrUZ,0.0064420352,-0.0145235521,-0.0831557669,-0.011279475,0.5920496208
2YgAimWK,0.0064420352,-0.0145235521,-0.2689900255,0.5722102716,0.0826752539
2cx85d9H,0.0064420352,-0.0145235521,0.6163437466,-0.1034690047,-0.7864162622
2homMXMV,0.0064420352,-0.0145235521,0.0678664192,-0.3488084728,0.3641759137
2ldLrUtq,0.0064420352,-0.0145235521,-0.105252081,-0.0962021176,-0.5517440007
2nsACW6G,0.0064420352,-0.0145235521,-0.2144020864,0.5466944332,-1.0261119921
2yMbVnWc,0.0064420352,-0.0145235521,-0.4747551113,0.6565318185,-0.3613183598
36r8sgGQ,0.0064420352,-0.0145235521,0.0323451185,-0.4913637843,0.7938832053
3NXAXCl3,0.0064420352,-0.0145235521,-0.41430246,0.332659088,-1.0522703442
3QG0z6fl,0.0064420352,-0.0145235521,-0.387909467,-0.256136653,-0.6626891341
3WS8R9qm,0.0064420352,-0.0145235521,-0.4614533072,1.2489328839,-1.2167839435
3fRLm8f5,0.0064420352,-0.0145235521,0.0744568564,-0.1818692385,0.4035143015
3mZhp1nQ,0.0064420352,-0.0145235521,0.1364472621,-0.2361858648,0.656390545
3pikJXRL,0.0064420352,-0.0145235521,-0.5880748011,0.3515962751,-1.0926707494
3pxOEGHL,0.0064420352,-0.0145235521,-0.143646879,-0.4297669906,0.7202293075
3ttdV3f5,0.0064420352,-0.0145235521,0.5523599534,0.832829009,-0.9013558211
3v4X6Mfe,0.0064420352,-0.0145235521,0.9933056104,-0.3124021917,-0.8136050645
3wORuPiv,0.0064420352,-0.0145235521,-0.3356727559,0.4848262112,-0.4637367776
43EfrxZj,0.0064420352,-0.0145235521,-0.1716457907,0.0970654847,0.4439404407
457Vwm21,0.0064420352,-0.0145235521,0.177211648,-0.0640947339,0.2514907169
46KNnOdx,0.0064420352,-0.0145235521,-0.1175617868,-0.2902604242,0.1779687291
47TwNsVC,0.0064420352,-0.0145235521,-0.2489184281,0.5691684667,-1.0723763416
49856RpO,0.0064420352,-0.0145235521,-0.4516714066,-0.2504668941,-0.4505897671
4Ane1o2N,0.0064420352,-0.0145235521,-0.1732653873,-0.3519706177,0.3271868132
4AyVUgSc,0.0064420352,-0.0145235521,-0.2272518405,-0.4585018181,-0.3648067857
4B1951On,0.0064420352,-0.0145235521,-0.2524263744,0.1247814747,-0.895247995
4OL39Teo,0.0064420352,-0.0145235521,-0.2472959047,0.2285556754,0.5741730497
4eQ90eLY,0.0064420352,-0.0145235521,-0.5450671997,0.6514739155,-0.9703415695
4o5jwMj8,0.0064420352,-0.0145235521,0.1900845339,-0.4544886532,0.0586471109
4vPgpl2c,0.0064420352,-0.0145235521,-0.6307447029,-0.0765092,-0.1668143766
51r9aA0d,0.0064420352,-0.0145235521,-0.0726026335,-0.3844463796,-0.3479054834
58SmeRoP,0.0064420352,-0.0145235521,0.7870694338,-0.0583550447,-0.1084503213
5HJp1AXn,0.0064420352,-0.0145235521,-0.6854780036,0.7034500333,-0.5191982112
5MBZW7fx,0.0064420352,-0.0145235521,0.0659684141,-0.0702320107,0.420698937
5Nq3gHaP,0.0064420352,-0.0145235521,-0.193903038,0.8031949709,-0.570352207
5RmwFFK3,0.0064420352,-0.0145235521,0.3191463555,0.3885125537,-0.418656288
5Tu5Jbov,0.0064420352,-0.0145235521,0.1345206495,0.7442795049,-1.3263156157
5YEolkev,0.0064420352,-0.0145235521,0.0012794325,-0.1825711962,-0.4228057552
5a8sf6QV,0.0064420352,-0.0145235521,0.0558865357,0.2185626722,-0.8037320625
5eSvmqYm,0.0064420352,-0.0145235521,0.5307520041,0.7190596599,-1.1412030022
5hkN8fiv,0.0064420352,-0.0145235521,-0.0191104936,-0.2541354752,-0.3153941296
5oK8Gti5,0.0064420352,-0.0145235521,-0.6592636041,0.1510245701,-0.2081811675
5paniGaU,0.0064420352,-0.0145235521,-0.197648868,-1.1272020236,1.8196660798
5vsr7ZUP,0.0064420352,-0.0145235521,1.3280807761,-0.5264578927,-0.0915136297
60B4xMWI,0.0064420352,-0.0145235521,0.5856517771,-0.0917522787,0.287700352
64jOUtKy,0.0064420352,-0.0145235521,-0.1226720035,0.5433908572,-0.0862246573
6AJo4xNG,0.0064420352,-0.0145235521,-0.3124195623,0.5250595828,-0.4902995888
6CAvhEte,0.0064420352,-0.0145235521,-0.6205729431,-0.0373556209,-0.7266356198
6CuGYjT5,0.0064420352,-0.0145235521,1.1910356888,0.1311775639,-0.9582314047
6DGH8ujZ,0.0064420352,-0.0145235521,-0.0111024282,-0.3797591064,-0.0896384511
6PzsGdVm,0.0064420352,-0.0145235521,-0.146378205,-0.2271614602,-0.0765098156
6UcSJMbq,0.0064420352,-0.0145235521,0.6757293357,0.0866815868,0.1327080462
6WJbkH8U,0.0064420352,-0.0145235521,1.3230081841,-0.2955389061,-0.9475793804
6eUWsVzw,0.0064420352,-0.0145235521,0.8272422454,-0.3775965188,-0.1827956767
6gNyO7Do,0.0064420352,-0.0145235521,0.3611026622,0.1368308226,-0.7147971434
6jT0AyHe,0.0064420352,-0.0145235521,0.1285516213,0.2264277398,-0.4325729989
6nBgCvWu,0.0064420352,-0.0145235521,0.1063813195,-0.1091591691,1.201505025
6ro5mqg6,0.0064420352,-0.0145235521,0.1687716972,-0.3019029309,0.9616813814
6sGqObX4,0.0064420352,-0.0145235521,0.1132245592,0.7595859169,-1.5311830826
6uEGy0n4,0.0064420352,-0.0145235521,1.3960725536,-0.257729955,-0.6277060696
7BZ4LxP8,0.0064420352,-0.0145235521,0.083295153,0.2257595464,-1.050128199
7CmigXKi,0.0064420352,-0.0145235521,-0.5643017678,-0.0506933314,-0.9278175052
7Ga0LpfR,0.0064420352,-0.0145235521,0.0556680288,0.8945920703,-0.2471146469
7PQsFvsG,0.0064420352,-0.0145235521,0.0180702221,-0.1358794182,-0.16123757
7aF7nnwn,0.0064420352,-0.0145235521,-0.1655929641,-0.6934366104,0.1375498503
7asGzfX9,0.0064420352,-0.0145235521,-0.3127743723,0.1262151396,0.58282407
7cg7C92o,0.0064420352,-0.0145235521,-0.346570518,0.922946896,-0.4373471847
7eOxTpsB,0.0064420352,-0.0145235521,-0.0906162624,-0.0248556896,0.6121196175
7ey0v7ma,0.0064420352,-0.0145235521,-0.4316391478,0.5375925724,-1.1298907556
7gocyrYl,0.0064420352,-0.0145235521,-0.187334455,0.0845397564,-0.14547105
7gqR3GoA,0.0064420352,-0.0145235521,0.0080963384,-0.415360346,-0.0127649084
7og7aUXB,0.0064420352,-0.0145235521,0.2546036737,0.2486680602,-0.2434522075
7onRfa8F,0.0064420352,-0.0145235521,0.0511485998,0.3901059301,0.1675420907
7umkNuxM,0.0064420352,-0.0145235521,-0.1254125809,0.0633572108,-0.2105295201
7vPr9ExD,0.0064420352,-0.0145235521,-0.0212801696,0.2349902318,-0.6648317757
7zNjpCzu,0.0064420352,-0.0145235521,0.3096041713,0.7749384432,-1.3223073616
7ztsQNj3,0.0064420352,-0.0145235521,0.2496327065,0.6434912923,-1.1126870901
86gppwMI,0.0064420352,-0.0145235521,-0.7315112478,0.0259463536,-0.2875489661
88thAGdL,0.0064420352,-0.0145235521,0.339355816,-0.2843457299,0.4431052639
8GhU8STP,0.0064420352,-0.0145235521,0.5145456166,0.3814074834,-0.8544360832
8NlzDcWe,0.0064420352,-0.0145235521,-0.2267191977,-0.6252124495,-0.298644908
8QAejdLW,0.0064420352,-0.0145235521,0.3336847437,-0.0315570726,-0.0429648885
8RDeFxWM,0.0064420352,-0.0145235521,0.1731562161,-0.5592813137,1.1061810085
8UXP2NBS,0.0064420352,-0.0145235521,-1.1672677398,0.3560993397,-1.0399692344
8ZoV3KGT,0.0064420352,-0.0145235521,0.2066189221,-0.1911310819,-0.0820687708
8ajs2uG8,0.0064420352,-0.0145235521,-0.440926383,-0.1357142341,-0.5954983457
8bXnz62p,0.0064420352,-0.0145235521,-0.2996508182,0.7456024485,-0.365062939
8nO1O1LG,0.0064420352,-0.0145235521,0.1396800708,0.6572572933,-0.7889362467
8xE1p8g8,0.0064420352,-0.0145235521,-1.1750656658,0.5769428877,-1.2652344028
8yMDVMRM,0.0064420352,-0.0145235521,-0.545625588,-0.1964999771,-0.4699478973
98R5VaPi,0.0064420352,-0.0145235521,0.6832733115,-0.026854945,0.3660711652
9DcTz2Ua,0.0064420352,-0.0145235521,0.9807066085,0.0487893301,-0.7423222791
9G7nfUrK,0.0064420352,-0.0145235521,-0.2612090642,0.640503951,-0.1013700211
9O6GZ1HT,0.0064420352,-0.0145235521,0.6350169884,-0.0228391,0.0248849907
9S7fCoAM,0.0064420352,-0.0145235521,-0.1494469309,0.063417988,0.6638899854
9iQwmFJR,0.0064420352,-0.0145235521,-0.2223598572,0.1320452098,-0.8122893059
A3Mt6SAQ,0.0064420352,-0.0145235521,1.1421391762,-0.341054416,-0.1027918034
AJIsQIcV,0.0064420352,-0.0145235521,-0.5263260493,0.0114672762,-0.7124044985
AMHKXMh8,0.0064420352,-0.0145235521,0.9456925471,0.0035199237,-0.4958732298
ASwA2J4E,0.0064420352,-0.0145235521,0.0347240075,-0.2666470222,0.8374855841
AaFvEoHq,0.0064420352,-0.0145235521,0.14024036,-0.0948476043,0.1784928846
AiIPD6hX,0.0064420352,-0.0145235521,-0.6130975249,0.5345240356,-0.9010439294
AsIURvJS,0.0064420352,-0.0145235521,0.1940040105,0.3550168853,-0.4026280077
AsvgbJ0C,0.0064420352,-0.0145235521,0.251380168,-0.2849204381,0.0371655943
AxEhbkCM,0.0064420352,-0.0145235521,-0.8863331443,0.2255615334,-1.0270551771
B7VPkIpx,0.0064420352,-0.0145235521,-0.2598413705,-0.0225163111,0.5544882827
BBwHqHiH,0.0064420352,-0.0145235521,0.448080176,-0.0412357893,-0.1704136116
BMyps8hr,0.0064420352,-0.0145235521,-0.434480497,0.3953749069,-1.0821500408
BUHS4dQw,0.0064420352,-0.0145235521,-0.1806387439,0.3583000534,-0.1991708228
BZB3EYWQ,0.0064420352,-0.0145235521,-0.0470343332,-0.1420812357,0.8451743904
C5UPCZcL,0.0064420352,-0.0145235521,1.0876050299,-0.0469631723,-0.7347616331
C5gIfQbJ,0.0064420352,-0.0145235521,0.0590438845,0.1021357576,-0.1831334369
CDRuu4Pn,0.0064420352,-0.0145235521,0.1128244531,-0.5237737023,0.7361144604
CQhTYkqE,0.0064420352,-0.0145235521,0.5795885863,0.0623974599,-0.1755692203
CSEobMXv,0.0064420352,-0.0145235521,-0.1351356894,-0.305399127,0.2490746502
CYMQE4x0,0.0064420352,-0.0145235521,0.4689575157,-0.0129990875,-0.5396285614
ChQdtl4J,0.0064420352,-0.0145235521,-0.149311553,0.0217246243,0.3527308849
ChnD1nrN,0.0064420352,-0.0145235521,-0.3850224321,-0.5240861698,-0.5250198198
CvtbbIcq,0.0064420352,-0.0145235521,0.2162553754,0.0475441728,0.3795358982
