PIDN,Ca,P,pH,SOC,Sand
09gt9UK5,-0.4707890495,-0.1781589276,-0.1327250444,0.0212321828,0.4242707598
0BVvxJ6a,0.3701679545,-0.0116545258,-0.4095734649,0.2468093629,-0.4737634545
0KbdgApg,0.1809517372,-0.1473733368,-0.8637963485,0.2110369653,-0.0783593986
0MnuuduB,-0.0012484712,0.3272166212,-0.6370095008,1.3085407812,-0.68915968
0PcIsF9z,-0.328703222,-0.2696952669,-0.3793169199,0.649793907,-0.1686981079
0ShTFLYJ,-0.6722691397,-0.6471073775,-0.0749193048,0.6389865485,0.1687699209
0XZh9jka,0.2176033863,0.4551447281,-0.7787444104,2.044910361,-1.2545175551
0Y7Wegri,-0.1798913814,0.0448419052,-1.1647038405,-0.186870566,-0.0291564331
0dTqplIM,0.2438526263,0.1551706625,-0.3528533524,0.5000482438,-0.5832988569
0lNiZicC,-0.7318867351,-0.6393362295,0.4898262505,1.7181813461,0.0738347133
0rGeJ0QN,-0.2723523074,0.0184802612,-1.0424820808,0.7711563589,-0.1274167568
0sXI9ytQ,-0.265124344,0.1998782307,0.0882081708,0.0896992762,1.5673906426
0ukt4aP6,0.5400405171,0.0633892371,0.015489687,1.8467974215,0.0204944307
1AGspb8f,-0.3515037971,-0.2508971333,-0.6461383402,0.2539337772,-0.0421140198
1Csy0gvE,-0.280272759,0.0235813868,-0.3974683982,-0.2776209306,1.0513950797
1Ic2hly1,-0.2014999174,0.1902290576,-0.5522882969,0.3273848492,-0.1665193299
1PPbaTwt,-0.3453110765,-0.3655597314,-0.3264565874,0.0129857501,0.1630911646
1SO5VJNy,-0.1569816311,0.1732629807,-0.4170731173,0.0599405518,0.3896107847
1arHxK3Y,0.6305382922,0.3207933848,-0.0813262226,0.690445434,-0.3505969345
1fCW4Bba,-0.1556693792,0.396475055,-0.4832959482,0.6816180589,-0.0355491186
1qDZNvIm,-0.2929908187,0.2154571254,-0.4884001556,-0.3661131997,0.818992944
28LYJC2V,-0.412136007,-0.1360293983,-0.7528374206,0.2757950788,-0.6519010005
2CzACvQq,0.3886093373,0.0431300543,-0.5772341397,0.859380638,-0.0947137221
2FT3crfv,0.0123474437,0.1445446953,-0.4775342907,0.733612549,-0.6092121314
2Fy2uHVg,0.5410346409,-0.3873859232,-0.7665738423,0.5864189425,0.0031590396
